name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
,,,,542,491,118,108,542118491108,Dak'fron,542.921875,-491.15625,9
,,,,476,492,127,50,47612749250,Dak'fron,476.9921875,-492.609375,9
,,,,498,497,13,6,4981349706,Dak'fron,498.1015625,-497.953125,9
,,,,550,479,56,12,5505647912,Dak'fron,550.4375,-479.90625,9
,,,,594,470,70,59,5947047059,Dak'fron,594.546875,-470.5390625,9
,,,,618,494,20,125,61820494125,Dak'fron,618.15625,-494.0234375,9
,,,,599,499,74,51,5997449951,Dak'fron,599.578125,-499.6015625,9
,,,,507,497,28,101,50728497101,Dak'fron,507.21875,-497.2109375,9
,,,,479,498,67,64,4796749864,Dak'fron,479.5234375,-498.5,9
,,,,538,493,27,27,5382749327,Dak'fron,538.2109375,-493.7890625,9
,,,,590,497,28,81,5902849781,Dak'fron,590.21875,-497.3671875,9
,,,,535,493,113,14,53511349314,Dak'fron,535.8828125,-493.890625,9
,,,,581,483,4,79,5810448379,Dak'fron,581.03125,-483.3828125,9
,,,,521,499,38,119,52138499119,Dak'fron,521.296875,-499.0703125,9
,,,,559,494,60,88,5596049488,Dak'fron,559.46875,-494.3125,9
,,,,483,499,86,49,4838649949,Dak'fron,483.671875,-499.6171875,9
,,,,477,493,54,113,47754493113,Dak'fron,477.421875,-493.1171875,9
,,,,491,482,38,45,4913848245,Dak'fron,491.296875,-482.6484375,9
,,,,549,480,24,56,5492448056,Dak'fron,549.1875,-480.5625,9
,,,,581,461,47,55,5814746155,Dak'fron,581.3671875,-461.5703125,9
,,,,595,471,37,42,5953747142,Dak'fron,595.2890625,-471.671875,9
,,,,611,469,72,96,6117246996,Dak'fron,611.5625,-469.25,9
,,,,604,498,24,74,6042449874,Dak'fron,604.1875,-498.421875,9
,,,,514,498,86,70,5148649870,Dak'fron,514.671875,-498.453125,9
,,,,549,498,105,33,54910549833,Dak'fron,549.8203125,-498.7421875,9
,,,,584,499,92,115,58492499115,Dak'fron,584.71875,-499.1015625,9
,,,,546,478,20,19,5462047819,Dak'fron,546.15625,-478.8515625,9
,,,,618,499,69,54,6186949954,Dak'fron,618.5390625,-499.578125,9
,,,,622,499,45,22,6224549922,Dak'fron,622.3515625,-499.828125,9
,,,,568,494,33,111,56833494111,Dak'fron,568.2578125,-494.1328125,9
,,,,516,494,115,104,516115494104,Dak'fron,516.8984375,-494.1875,9
,,,,586,499,90,58,5869049958,Dak'fron,586.703125,-499.546875,9
,,,,552,495,18,41,5521849541,Dak'fron,552.140625,-495.6796875,9
,,,,505,468,116,118,505116468118,Dak'fron,505.90625,-468.078125,9
,,,,613,486,110,55,61311048655,Dak'fron,613.859375,-486.5703125,9
,,,,565,485,104,1,56510448501,Dak'fron,565.8125,-485.9921875,9
,,,,551,486,27,69,5512748669,Dak'fron,551.2109375,-486.4609375,9
,,,,600,499,64,59,6006449959,Dak'fron,600.5,-499.5390625,9
,,,,560,496,44,82,5604449682,Dak'fron,560.34375,-496.359375,9
,,,,537,458,108,102,537108458102,Dak'fron,537.84375,-458.203125,9
,,,,584,460,14,82,5841446082,Dak'fron,584.109375,-460.359375,9
,,,,540,498,26,28,5402649828,Dak'fron,540.203125,-498.78125,9
,,,,570,495,5,120,57005495120,Dak'fron,570.0390625,-495.0625,9
,,,,604,498,0,110,60400498110,Dak'fron,604,-498.140625,9
,,,,521,484,104,100,521104484100,Dak'fron,521.8125,-484.21875,9
,,,,621,489,13,56,6211348956,Dak'fron,621.1015625,-489.5625,9
,,,,606,465,102,6,60610246506,Dak'fron,606.796875,-465.953125,9
,,,,613,481,19,114,61319481114,Dak'fron,613.1484375,-481.109375,9
,,,,594,477,47,47,5944747747,Dak'fron,594.3671875,-477.6328125,9
,,,,582,450,65,26,5826545026,Dak'fron,582.5078125,-450.796875,9
,,,,621,494,58,95,6215849495,Dak'fron,621.453125,-494.2578125,9
,,,,534,498,0,5,5340049805,Dak'fron,534,-498.9609375,9
,,,,546,478,38,33,5463847833,Dak'fron,546.296875,-478.7421875,9
,,,,583,480,13,19,5831348019,Dak'fron,583.1015625,-480.8515625,9
,,,,583,450,10,78,5831045078,Dak'fron,583.078125,-450.390625,9
,,,,547,478,68,119,54768478119,Dak'fron,547.53125,-478.0703125,9
,,,,597,480,13,109,59713480109,Dak'fron,597.1015625,-480.1484375,9
,,,,589,499,27,118,58927499118,Dak'fron,589.2109375,-499.078125,9
,,,,536,499,110,88,53611049988,Dak'fron,536.859375,-499.3125,9
,,,,583,450,10,68,5831045068,Dak'fron,583.078125,-450.46875,9
,,,,502,498,0,69,5020049869,Dak'fron,502,-498.4609375,9
,,,,546,478,52,8,5465247808,Dak'fron,546.40625,-478.9375,9
,,,,494,498,26,61,4942649861,Dak'fron,494.203125,-498.5234375,9
,,,,579,463,51,104,57951463104,Dak'fron,579.3984375,-463.1875,9
,,,,597,490,65,78,5976549078,Dak'fron,597.5078125,-490.390625,9
,,,,542,492,24,0,5422449200,Dak'fron,542.1875,-493,9
,,,,617,493,122,27,61712249327,Dak'fron,617.953125,-493.7890625,9
,,,,617,464,32,124,61732464124,Dak'fron,617.25,-464.03125,9
,,,,584,481,92,73,5849248173,Dak'fron,584.71875,-481.4296875,9
,,,,615,494,113,119,615113494119,Dak'fron,615.8828125,-494.0703125,9
,,,,580,495,84,93,5808449593,Dak'fron,580.65625,-495.2734375,9
,,,,519,494,119,42,51911949442,Dak'fron,519.9296875,-494.671875,9
,,,,524,492,52,73,5245249273,Dak'fron,524.40625,-492.4296875,9
,,,,534,495,42,64,5344249564,Dak'fron,534.328125,-495.5,9
,,,,531,489,41,13,5314148913,Dak'fron,531.3203125,-489.8984375,9
,,,,560,494,26,72,5602649472,Dak'fron,560.203125,-494.4375,9
,,,,611,472,19,114,61119472114,Dak'fron,611.1484375,-472.109375,9
,,,,522,484,10,47,5221048447,Dak'fron,522.078125,-484.6328125,9
,,,,547,481,47,38,5474748138,Dak'fron,547.3671875,-481.703125,9
,,,,621,475,104,46,62110447546,Dak'fron,621.8125,-475.640625,9
,,,,524,492,113,37,52411349237,Dak'fron,524.8828125,-492.7109375,9
,,,,542,490,45,119,54245490119,Dak'fron,542.3515625,-490.0703125,9
,,,,477,493,119,106,477119493106,Dak'fron,477.9296875,-493.171875,9
,,,,610,487,52,58,6105248758,Dak'fron,610.40625,-487.546875,9
,,,,600,499,90,68,6009049968,Dak'fron,600.703125,-499.46875,9
,,,,484,499,111,108,484111499108,Dak'fron,484.8671875,-499.15625,9
,,,,614,480,105,12,61410548012,Dak'fron,614.8203125,-480.90625,9
,,,,563,495,13,96,5631349596,Dak'fron,563.1015625,-495.25,9
,,,,525,499,95,93,5259549993,Dak'fron,525.7421875,-499.2734375,9
,,,,583,473,82,5,5838247305,Dak'fron,583.640625,-473.9609375,9
,,,,573,477,70,42,5737047742,Dak'fron,573.546875,-477.671875,9
,,,,530,491,47,86,5304749186,Dak'fron,530.3671875,-491.328125,9
,,,,594,483,111,52,59411148352,Dak'fron,594.8671875,-483.59375,9
,,,,529,499,1,128,52901499128,Dak'fron,529.0078125,-499,9
,,,,483,498,64,44,4836449844,Dak'fron,483.5,-498.65625,9
,,,,552,486,109,26,55210948626,Dak'fron,552.8515625,-486.796875,9
,,,,523,498,26,24,5232649824,Dak'fron,523.203125,-498.8125,9
,,,,565,496,12,46,5651249646,Dak'fron,565.09375,-496.640625,9
,,,,489,489,12,128,48912489128,Dak'fron,489.09375,-489,9
,,,,567,487,49,79,5674948779,Dak'fron,567.3828125,-487.3828125,9
,,,,638,496,115,113,638115496113,Dak'fron,638.8984375,-496.1171875,9
,,,,551,495,127,81,55112749581,Dak'fron,551.9921875,-495.3671875,9
,,,,584,473,23,104,58423473104,Dak'fron,584.1796875,-473.1875,9
,,,,567,489,97,96,5679748996,Dak'fron,567.7578125,-489.25,9
,,,,584,487,31,54,5843148754,Dak'fron,584.2421875,-487.578125,9
,,,,544,476,56,64,5445647664,Dak'fron,544.4375,-476.5,9
,,,,584,498,96,31,5849649831,Dak'fron,584.75,-498.7578125,9
,,,,581,482,17,37,5811748237,Dak'fron,581.1328125,-482.7109375,9
,,,,495,498,6,47,4950649847,Dak'fron,495.046875,-498.6328125,9
,,,,561,470,54,92,5615447092,Dak'fron,561.421875,-470.28125,9
,,,,531,498,91,46,5319149846,Dak'fron,531.7109375,-498.640625,9
,,,,570,481,102,19,57010248119,Dak'fron,570.796875,-481.8515625,9
,,,,616,494,4,61,6160449461,Dak'fron,616.03125,-494.5234375,9
,,,,503,498,76,0,5037649800,Dak'fron,503.59375,-499,9
,,,,569,494,69,20,5696949420,Dak'fron,569.5390625,-494.84375,9
,,,,596,481,76,123,59676481123,Dak'fron,596.59375,-481.0390625,9
,,,,548,479,50,119,54850479119,Dak'fron,548.390625,-479.0703125,9
,,,,520,496,49,18,5204949618,Dak'fron,520.3828125,-496.859375,9
,,,,488,489,128,84,48812848984,Dak'fron,489,-489.34375,9
