name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Foothills,1,WOD_Mountain_Desert_04,-163,692,59,99,97,692995997,Koegria,692.7734375,-59.2421875,4.0,1,0.7584238811229175
Foothills,1,WOD_Mountain_Desert_02,166,712,80,33,72,712338072,Koegria,712.2578125,-80.4375,4.0,1,0.6509995527079954
Foothills,1,WOD_Mountain_Desert_05,66,690,61,45,23,690456123,Koegria,690.3515625,-61.8203125,4.0,1,0.9526269080289982
Foothills,1,WOD_Mountain_Desert_01,-40,660,50,12,44,660125044,Koegria,660.09375,-50.65625,4.0,1,0.8802533378562172
Foothills,1,WOD_Mountain_Desert_07,77,657,50,19,14,657195014,Koegria,657.1484375,-50.890625,4.0,1,0.8338578391151457
Foothills,1,WOD_Mountain_Desert_07,100,692,59,97,17,692975917,Koegria,692.7578125,-59.8671875,4.0,1,0.7322468285245118
Foothills,1,WOD_Mountain_Desert_01,43,705,62,84,78,705846278,Koegria,705.65625,-62.390625,4.0,1,0.6221425252537455
Foothills,1,WOD_Mountain_Desert_04,-46,691,60,72,68,691726068,Koegria,691.5625,-60.46875,4.0,1,0.7406038324472884
Foothills,1,WOD_Mountain_Desert_02,110,688,64,113,127,68811364127,Koegria,688.8828125,-64.0078125,4.0,1,0.740429494393112
Foothills,1,WOD_Mountain_Desert_05,-143,659,51,125,127,65912551127,Koegria,659.9765625,-51.0078125,4.0,1,0.8063417191606339
Foothills,1,WOD_Mountain_Desert_02,-120,659,48,69,51,659694851,Koegria,659.5390625,-48.6015625,4.0,1,0.6075604273055054
Foothills,1,WOD_Mountain_Desert_01,148,689,63,76,23,689766323,Koegria,689.59375,-63.8203125,4.0,1,0.8946495775989434
Foothills,1,WOD_Mountain_Desert_07,-2,693,62,82,77,693826277,Koegria,693.640625,-62.3984375,4.0,1,0.9189887773786356
Foothills,1,WOD_Mountain_Desert_04,-171,704,60,84,9,704846009,Koegria,704.65625,-60.9296875,4.0,1,0.7807796041478061
Foothills,1,WOD_Mountain_Desert_03,154,692,59,69,52,692695952,Koegria,692.5390625,-59.59375,4.0,1,0.9599144667909562
Foothills,1,WOD_Mountain_Desert_05,-1,692,62,33,52,692336252,Koegria,692.2578125,-62.59375,4.0,1,0.7839553114184237
