name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Foothills,1,WOD_Mountain_Desert_05,21,589,337,108,124,589108337124,Tigonus,589.84375,-337.03125,4.0,1,0.6098714913565325
Foothills,1,WOD_Mountain_Desert_07,131,586,346,12,97,5861234697,Tigonus,586.09375,-346.2421875,7.0,1,0.8457385199918523
Foothills,1,WOD_Mountain_Desert_03,-32,597,359,128,88,59712835988,Tigonus,598.0,-359.3125,4.0,1,0.9098265696806462
Foothills,1,WOD_Mountain_Desert_02,131,589,337,97,79,5899733779,Tigonus,589.7578125,-337.3828125,4.0,1,0.9809641792709408
Foothills,1,WOD_Mountain_Desert_03,-165,600,361,3,92,6000336192,Tigonus,600.0234375,-361.28125,4.0,1,0.7468737599731747
Foothills,1,WOD_Mountain_Desert_04,116,598,360,27,64,5982736064,Tigonus,598.2109375,-360.5,4.0,1,0.7241558591664744
Foothills,1,WOD_Mountain_Desert_06,25,587,343,78,58,5877834358,Tigonus,587.609375,-343.546875,4.0,1,0.8245438645509999
Foothills,1,WOD_Mountain_Desert_04,-165,585,344,14,84,5851434484,Tigonus,585.109375,-344.34375,7.0,1,0.9357887936677886
Foothills,1,WOD_Mountain_Desert_03,152,586,343,102,91,58610234391,Tigonus,586.796875,-343.2890625,4.0,1,0.7661794243803254
Foothills,1,WOD_Mountain_Desert_07,124,587,345,104,5,58710434505,Tigonus,587.8125,-345.9609375,4.0,1,0.9157058660605596
Foothills,1,WOD_Mountain_Desert_03,-51,587,346,97,120,58797346120,Tigonus,587.7578125,-346.0625,4.0,1,0.962146219119342
Foothills,1,WOD_Mountain_Desert_03,-7,601,360,24,127,60124360127,Tigonus,601.1875,-360.0078125,4.0,1,0.6417249461372007
Foothills,1,WOD_Mountain_Desert_04,157,589,340,90,96,5899034096,Tigonus,589.703125,-340.25,4.0,1,0.9353738816981794
Foothills,1,WOD_Mountain_Desert_03,-38,587,346,15,69,5871534669,Tigonus,587.1171875,-346.4609375,4.0,1,0.7164060146140491
Foothills,1,WOD_Mountain_Desert_06,166,599,358,65,115,59965358115,Tigonus,599.5078125,-358.1015625,4.0,1,0.9739491366383108
Foothills,1,WOD_Mountain_Desert_07,110,598,360,84,79,5988436079,Tigonus,598.65625,-360.3828125,4.0,1,0.9891742888830136
Foothills,1,WOD_Mountain_Desert_05,102,587,344,93,122,58793344122,Tigonus,587.7265625,-344.046875,4.0,1,0.9878794866622932
Foothills,1,WOD_Mountain_Desert_02,39,587,342,27,20,5872734220,Tigonus,587.2109375,-342.84375,4.0,1,0.7011881244438576
Foothills,1,WOD_Mountain_Desert_01,-120,586,346,74,120,58674346120,Tigonus,586.578125,-346.0625,7.0,1,0.780911015602917
