fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
1,Desert Mountain,3,WOD_Mountain_Desert_01,-111,372,465,24,35,3722446535,Alik'r Desert,372.1875,-465.7265625,8
2,Desert Mountain,3,WOD_Mountain_Desert_02,-35,439,435,120,50,43912043550,Antiphyllos,439.9375,-435.609375,8
3,Desert Mountain,3,WOD_Mountain_Desert_03,-141,402,482,38,52,4023848252,Alik'r Desert,402.296875,-482.59375,8
4,Desert Mountain,3,WOD_Mountain_Desert_04,-174,543,391,27,90,5432739190,Alik'r Desert,543.2109375,-391.296875,8
5,Desert Mountain,3,WOD_Mountain_Desert_05,152,511,452,65,37,5116545237,Alik'r Desert,511.5078125,-452.7109375,8
6,Desert Mountain,3,WOD_Mountain_Desert_06,155,314,473,84,67,3148447367,Alik'r Desert,314.65625,-473.4765625,8
7,Desert Mountain,3,WOD_Mountain_Desert_07,-6,643,423,50,59,6435042359,Santaki,643.390625,-423.5390625,8
8,Desert Mountain,3,WOD_Mountain_Desert_01,167,419,420,109,97,41910942097,Antiphyllos,419.8515625,-420.2421875,8
9,Desert Mountain,3,WOD_Mountain_Desert_02,-11,559,417,12,13,5591241713,Alik'r Desert,559.09375,-417.8984375,8
10,Desert Mountain,3,WOD_Mountain_Desert_03,9,542,448,109,105,542109448105,Dak'fron,542.8515625,-448.1796875,8
11,Desert Mountain,3,WOD_Mountain_Desert_04,-31,513,409,41,68,5134140968,Alik'r Desert,513.3203125,-409.46875,8
12,Desert Mountain,3,WOD_Mountain_Desert_05,-149,341,480,104,12,34110448012,Alik'r Desert,341.8125,-480.90625,8
13,Desert Mountain,3,WOD_Mountain_Desert_06,-170,381,447,111,52,38111144752,Alik'r Desert,381.8671875,-447.59375,8
14,Desert Mountain,3,WOD_Mountain_Desert_07,-119,426,472,38,28,4263847228,Bergama,426.296875,-472.78125,8
15,Desert Mountain,3,WOD_Mountain_Desert_01,-24,308,443,31,93,3083144393,Alik'r Desert,308.2421875,-443.2734375,8
16,Desert Mountain,3,WOD_Mountain_Desert_02,-166,594,410,108,64,59410841064,Alik'r Desert,594.84375,-410.5,8
17,Desert Mountain,3,WOD_Mountain_Desert_03,-15,247,479,100,88,24710047988,Alik'r Desert,247.78125,-479.3125,8
18,Desert Mountain,3,WOD_Mountain_Desert_04,165,384,469,42,5,3844246905,Alik'r Desert,384.328125,-469.9609375,8
19,Desert Mountain,3,WOD_Mountain_Desert_05,144,410,408,102,23,41010240823,Sentinel,410.796875,-408.8203125,8
20,Desert Mountain,3,WOD_Mountain_Desert_06,-6,539,395,120,101,539120395101,Alik'r Desert,539.9375,-395.2109375,8
21,Desert Mountain,3,WOD_Mountain_Desert_07,-116,373,481,67,101,37367481101,Alik'r Desert,373.5234375,-481.2109375,8
22,Desert Mountain,3,WOD_Mountain_Desert_01,-40,356,468,114,45,35611446845,Alik'r Desert,356.890625,-468.6484375,8
23,Desert Mountain,3,WOD_Mountain_Desert_02,160,345,433,24,46,3452443346,Alik'r Desert,345.1875,-433.640625,8
24,Desert Mountain,3,WOD_Mountain_Desert_03,138,289,457,13,67,2891345767,Alik'r Desert,289.1015625,-457.4765625,8
25,Desert Mountain,3,WOD_Mountain_Desert_04,52,608,415,38,23,6083841523,Alik'r Desert,608.296875,-415.8203125,8
26,Desert Mountain,3,WOD_Mountain_Desert_05,-38,628,416,83,124,62883416124,Alik'r Desert,628.6484375,-416.03125,8
27,Desert Mountain,3,WOD_Mountain_Desert_06,-10,380,430,6,42,3800643042,Alik'r Desert,380.046875,-430.671875,8
28,Desert Mountain,3,WOD_Mountain_Desert_07,57,558,428,58,1,5585842801,Alik'r Desert,558.453125,-428.9921875,8
29,Desert Mountain,3,WOD_Mountain_Desert_01,103,554,401,84,9,5548440109,Alik'r Desert,554.65625,-401.9296875,8
30,Desert Mountain,3,WOD_Mountain_Desert_02,167,357,475,5,76,3570547576,Alik'r Desert,357.0390625,-475.40625,8
31,Desert Mountain,3,WOD_Mountain_Desert_03,-149,360,480,65,58,3606548058,Alik'r Desert,360.5078125,-480.546875,8
32,Desert Mountain,3,WOD_Mountain_Desert_04,-180,431,464,14,44,4311446444,Bergama,431.109375,-464.65625,8
33,Desert Mountain,3,WOD_Mountain_Desert_05,-156,340,427,100,28,34010042728,Alik'r Desert,340.78125,-427.78125,8
34,Desert Mountain,3,WOD_Mountain_Desert_06,111,537,414,42,114,53742414114,Alik'r Desert,537.328125,-414.109375,8
35,Desert Mountain,3,WOD_Mountain_Desert_07,122,460,435,60,49,4606043549,Antiphyllos,460.46875,-435.6171875,8
36,Desert Mountain,3,WOD_Mountain_Desert_01,-98,345,491,51,99,3455149199,Alik'r Desert,345.3984375,-491.2265625,8
37,Desert Mountain,3,WOD_Mountain_Desert_02,-136,407,486,108,67,40710848667,Alik'r Desert,407.84375,-486.4765625,8
38,Desert Mountain,3,WOD_Mountain_Desert_03,-97,369,480,45,12,3694548012,Alik'r Desert,369.3515625,-480.90625,8
39,Desert Mountain,3,WOD_Mountain_Desert_04,144,548,402,116,101,548116402101,Alik'r Desert,548.90625,-402.2109375,8
40,Desert Mountain,3,WOD_Mountain_Desert_05,-32,607,411,23,82,6072341182,Alik'r Desert,607.1796875,-411.359375,8
41,Desert Mountain,3,WOD_Mountain_Desert_06,107,420,416,14,20,4201441620,Sentinel,420.109375,-416.84375,8
42,Desert Mountain,3,WOD_Mountain_Desert_07,160,399,472,58,91,3995847291,Alik'r Desert,399.453125,-472.2890625,8
43,Desert Mountain,3,WOD_Mountain_Desert_01,67,290,455,56,17,2905645517,Alik'r Desert,290.4375,-455.8671875,8
44,Desert Mountain,3,WOD_Mountain_Desert_02,94,332,483,106,108,332106483108,Alik'r Desert,332.828125,-483.15625,8
45,Desert Mountain,3,WOD_Mountain_Desert_03,51,538,402,31,106,53831402106,Alik'r Desert,538.2421875,-402.171875,8
46,Desert Mountain,3,WOD_Mountain_Desert_04,27,633,427,81,1,6338142701,Santaki,633.6328125,-427.9921875,8
47,Desert Mountain,3,WOD_Mountain_Desert_05,-72,434,431,19,20,4341943120,Antiphyllos,434.1484375,-431.84375,8
48,Desert Mountain,3,WOD_Mountain_Desert_06,-150,232,480,32,35,2323248035,Alik'r Desert,232.25,-480.7265625,8
49,Desert Mountain,3,WOD_Mountain_Desert_07,59,524,430,60,31,5246043031,Alik'r Desert,524.46875,-430.7578125,8
