name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude
,,,,746,400,118,99,74611840099,Dragontail Mountains,746.921875,-400.2265625,4,5
,,,,967,131,24,88,9672413188,Wrothgarian Mountains,967.1875,-131.3125,4,5
,,,,162,139,38,101,16238139101,Glenpoint,162.296875,-139.2109375,3,5
,,,,78,154,55,24,785515424,Tulune,78.4296875,-154.8125,1,5
,,,,988,478,5,97,9880547897,Dragontail Mountains,988.0390625,-478.2421875,4,5
,,,,765,30,92,78,765923078,Wrothgarian Mountains,765.71875,-30.390625,4,5
,,,,727,431,93,63,7279343163,Dragontail Mountains,727.7265625,-431.5078125,4,5
,,,,293,119,18,67,2931811967,Shalgora,293.140625,-119.4765625,2,5
,,,,680,36,38,35,680383635,Wrothgarian Mountains,680.296875,-36.7265625,4,5
,,,,791,39,68,3,791683903,Wrothgarian Mountains,791.53125,-39.9765625,4,5
,,,,656,10,55,82,656551082,Wrothgarian Mountains,656.4296875,-10.359375,4,5
,,,,856,117,36,125,85636117125,Wrothgarian Mountains,856.28125,-117.0234375,4,5
,,,,878,474,84,88,8788447488,Dragontail Mountains,878.65625,-474.3125,4,5
,,,,883,428,67,28,8836742828,Ephesus,883.5234375,-428.78125,4,5
,,,,863,394,20,127,86320394127,Dragontail Mountains,863.15625,-394.0078125,4,5
,,,,803,51,55,64,803555164,Wrothgarian Mountains,803.4296875,-51.5,4,5
,,,,814,445,116,113,814116445113,Ephesus,814.90625,-445.1171875,4,5
,,,,880,63,97,12,880976312,Wrothgarian Mountains,880.7578125,-63.90625,4,5
,,,,808,349,10,35,8081034935,Totambu,808.078125,-349.7265625,5,5
,,,,912,139,125,12,91212513912,Wrothgarian Mountains,912.9765625,-139.90625,4,5
,,,,790,13,90,5,790901305,Wrothgarian Mountains,790.703125,-13.9609375,4,5
,,,,893,62,15,46,893156246,Wrothgarian Mountains,893.1171875,-62.640625,4,5
,,,,954,435,73,47,9547343547,Dragontail Mountains,954.5703125,-435.6328125,4,5
