name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,3,589,337,108,124,589108337124,Tigonus,589.84375,-337.03125,4.0,0.2549357456782662,0.9809207283687652
Rocks,1,WOD_Rocks_Round_Small_08,-87,586,346,12,97,5861234697,Tigonus,586.09375,-346.2421875,7.0,0.3728692599959262,0.7854546865656581
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,-20,597,359,128,88,59712835988,Tigonus,598.0,-359.3125,4.0,0.4049132848403231,0.8839648421145027
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-23,589,337,97,79,5899733779,Tigonus,589.7578125,-337.3828125,4.0,0.4404820896354705,0.7647642049952357
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,120,600,361,3,92,6000336192,Tigonus,600.0234375,-361.28125,4.0,0.3234368799865874,0.9072830580472592
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,122,598,360,27,64,5982736064,Tigonus,598.2109375,-360.5,4.0,0.3120779295832372,0.8567022776923292
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-148,587,343,78,58,5877834358,Tigonus,587.609375,-343.546875,4.0,0.3622719322754999,0.7874931466413257
Rocks,1,WOD_Rocks_Round_Small_06,157,585,344,14,84,5851434484,Tigonus,585.109375,-344.34375,7.0,0.4178943968338943,0.8619345892091199
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,144,586,343,102,91,58610234391,Tigonus,586.796875,-343.2890625,4.0,0.3330897121901627,0.9206283820345934
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,69,587,345,104,5,58710434505,Tigonus,587.8125,-345.9609375,4.0,0.4078529330302797,0.8263732469907363
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-141,587,346,97,120,58797346120,Tigonus,587.7578125,-346.0625,4.0,0.431073109559671,0.8591006730433925
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,52,601,360,24,127,60124360127,Tigonus,601.1875,-360.0078125,4.0,0.2708624730686003,0.8375668294398416
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,-48,589,340,90,96,5899034096,Tigonus,589.703125,-340.25,4.0,0.4176869408490896,0.7791186159811176
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-26,587,346,15,69,5871534669,Tigonus,587.1171875,-346.4609375,4.0,0.3082030073070245,0.8780812127688418
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,19,599,358,65,115,59965358115,Tigonus,599.5078125,-358.1015625,4.0,0.4369745683191554,0.9321247993101222
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,104,598,360,84,79,5988436079,Tigonus,598.65625,-360.3828125,4.0,0.4445871444415068,0.8961116481848881
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,35,587,344,93,122,58793344122,Tigonus,587.7265625,-344.046875,4.0,0.4439397433311467,0.960597708949942
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,101,587,342,27,20,5872734220,Tigonus,587.2109375,-342.84375,4.0,0.3005940622219288,0.7646437291459003
Rocks,1,WOD_Rocks_Round_Small_01,66,586,346,74,120,58674346120,Tigonus,586.578125,-346.0625,7.0,0.3404555078014585,0.7958957132401627
