name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,72,759,49,14,99,759144999,Wrothgarian Mountains,759.109375,-49.2265625,4.0,0.3597627007854649,0.8480432403377163
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,80,853,140,99,24,8539914024,Wrothgarian Mountains,853.7734375,-140.8125,4.0,0.3930378732744839,0.7602891465410729
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,104,755,71,17,63,755177163,Wrothgarian Mountains,755.1328125,-71.5078125,4.0,0.3705526752143288,0.9808251421378272
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-167,806,23,106,97,8061062397,Wrothgarian Mountains,806.828125,-23.2421875,4.0,0.3375174422525385,0.9795799880596492
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,159,758,72,105,54,7581057254,Wrothgarian Mountains,758.8203125,-72.578125,4.0,0.3266883037651555,0.7669847550058497
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-88,827,27,37,76,827372776,Wrothgarian Mountains,827.2890625,-27.40625,4.0,0.4083450076165329,0.9597039430147776
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-18,735,70,122,42,7351227042,Wrothgarian Mountains,735.953125,-70.671875,4.0,0.2642072116395774,0.7719433844601185
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,62,757,48,69,51,757694851,Wrothgarian Mountains,757.5390625,-48.6015625,4.0,0.2674258599403081,0.8797199951815245
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,115,808,55,110,67,8081105567,Wrothgarian Mountains,808.859375,-55.4765625,4.0,0.4165239691095876,0.9900684205852468
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,133,871,31,127,37,8711273137,Wrothgarian Mountains,871.9921875,-31.7109375,4.0,0.4098317128433447,0.860720352519328
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-10,930,194,69,10,9306919410,Wrothgarian Mountains,930.5390625,-194.921875,4.0,0.3422958724505863,0.8665716041946181
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-58,788,22,36,50,788362250,Wrothgarian Mountains,788.28125,-22.609375,4.0,0.2736548851737866,0.8143038526425064
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,-96,938,20,78,26,938782026,Wrothgarian Mountains,938.609375,-20.796875,4.0,0.2786706574818093,0.8452553589690984
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-59,985,161,61,127,98561161127,Wrothgarian Mountains,985.4765625,-161.0078125,4.0,0.3029111224209254,0.7846698934044299
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,38,978,18,84,58,978841858,Wrothgarian Mountains,978.65625,-18.546875,4.0,0.4048467378868433,0.9220505410811364
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-68,841,8,114,51,8411140851,Wrothgarian Mountains,841.890625,-8.6015625,4.0,0.253757960087271,0.7856965977976587
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,77,986,1,13,63,986130163,Wrothgarian Mountains,986.1015625,-1.5078125,4.0,0.3733867993749514,0.7986849140810168
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-47,991,51,83,27,991835127,Wrothgarian Mountains,991.6484375,-51.7890625,4.0,0.4387496157029248,0.915540127932142
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,178,872,48,65,52,872654852,Wrothgarian Mountains,872.5078125,-48.59375,4.0,0.3863640598206966,0.8462318313806738
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,31,796,138,54,44,7965413844,Wrothgarian Mountains,796.421875,-138.65625,4.0,0.389526239185453,0.9744559867848616
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,88,629,11,37,37,629371137,Wrothgarian Mountains,629.2890625,-11.7109375,4.0,0.262045094325854,0.756107253473805
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,53,935,112,110,102,935110112102,Wrothgarian Mountains,935.859375,-112.203125,4.0,0.2757852595309706,0.9800879369144676
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-126,850,57,60,81,850605781,Wrothgarian Mountains,850.46875,-57.3671875,4.0,0.3130856701848368,0.7925467945673825
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,144,987,75,128,88,9871287588,Wrothgarian Mountains,988.0,-75.3125,4.0,0.3640393540835759,0.9600733714920238
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-160,842,85,18,100,8421885100,Wrothgarian Mountains,842.140625,-85.21875,4.0,0.2704089621496056,0.9988425877848828
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-177,905,144,13,110,90513144110,Wrothgarian Mountains,905.1015625,-144.140625,4.0,0.2917753512189669,0.7787716829123164
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,76,961,4,125,83,9611250483,Wrothgarian Mountains,961.9765625,-4.3515625,4.0,0.2822619035769992,0.9581364497336632
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,29,854,79,95,54,854957954,Wrothgarian Mountains,854.7421875,-79.578125,4.0,0.3806216650930797,0.940128168816596
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,54,842,69,108,76,8421086976,Wrothgarian Mountains,842.84375,-69.40625,4.0,0.2817939167291039,0.8119105090096804
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,55,823,1,124,23,8231240123,Wrothgarian Mountains,823.96875,-1.8203125,4.0,0.272075028232861,0.7579125578665548
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,91,943,144,38,86,9433814486,Wrothgarian Mountains,943.296875,-144.328125,4.0,0.2893164723360107,0.8249098826752943
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,68,812,13,47,4,812471304,Wrothgarian Mountains,812.3671875,-13.96875,4.0,0.3237450341321928,0.763380692238534
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,97,982,48,18,47,982184847,Wrothgarian Mountains,982.140625,-48.6328125,4.0,0.414198645969587,0.8914382277228347
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,-63,838,68,12,3,838126803,Wrothgarian Mountains,838.09375,-68.9765625,4.0,0.4175889814997607,0.7682157426739981
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,32,713,18,78,79,713781879,Wrothgarian Mountains,713.609375,-18.3828125,4.0,0.3978527158796603,0.9078745040200232
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-96,827,51,74,50,827745150,Wrothgarian Mountains,827.578125,-51.609375,4.0,0.2578375584508641,0.8097832067221693
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-34,739,24,27,1,739272401,Wrothgarian Mountains,739.2109375,-24.9921875,4.0,0.3065613925152819,0.8357840513797125
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,84,986,78,58,119,9865878119,Wrothgarian Mountains,986.453125,-78.0703125,4.0,0.2740393122426338,0.9452463644365432
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,77,786,104,115,24,78611510424,Wrothgarian Mountains,786.8984375,-104.8125,4.0,0.332852598902934,0.7994906727517772
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-20,904,108,79,122,90479108122,Wrothgarian Mountains,904.6171875,-108.046875,4.0,0.3030778981878891,0.9587045154716582
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-43,997,14,104,55,9971041455,Wrothgarian Mountains,997.8125,-14.5703125,4.0,0.4358592395152428,0.9931993973220672
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-45,627,10,86,58,627861058,Wrothgarian Mountains,627.671875,-10.546875,4.0,0.3137137904902647,0.9867262249628268
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,154,977,145,79,72,9777914572,Wrothgarian Mountains,977.6171875,-145.4375,4.0,0.3834820759927363,0.969629680987108
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,-73,774,71,19,102,7741971102,Wrothgarian Mountains,774.1484375,-71.203125,4.0,0.3932654408237131,0.9792740649764166
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,9,837,31,114,26,8371143126,Wrothgarian Mountains,837.890625,-31.796875,4.0,0.2866382724014233,0.96802616376613
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,61,895,41,40,14,895404114,Wrothgarian Mountains,895.3125,-41.890625,4.0,0.3673025869620166,0.87516785518539
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,48,653,8,37,106,6533708106,Wrothgarian Mountains,653.2890625,-8.171875,4.0,0.4157880058434726,0.8733124188662287
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,-130,905,26,104,58,9051042658,Wrothgarian Mountains,905.8125,-26.546875,4.0,0.385563307359246,0.9765867483933
