name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
,,,,757,432,87,17,"7578743217",Dragontail Mountains,757.6796875,-432.8671875,4
,,,,367,439,61,92,"3676143992",Alik'r Desert,367.4765625,-439.28125,8
,,,,845,95,90,10,"845909510",Wrothgarian Mountains,845.703125,-95.921875,4
,,,,919,147,73,78,"9197314778",Wrothgarian Mountains,919.5703125,-147.390625,4
,,,,725,378,37,113,"72537378113",Dragontail Mountains,725.2890625,-378.1171875,4
,,,,448,480,24,17,"4482448017",Bergama,448.1875,-480.8671875,8
,,,,891,139,37,101,"89137139101",Wrothgarian Mountains,891.2890625,-139.2109375,4
,,,,727,470,88,96,"7278847096",Dragontail Mountains,727.6875,-470.25,4
,,,,354,375,15,41,"3541537541",Sentinel,354.1171875,-375.6796875,7
,,,,264,73,100,102,"26410073102",Ilessan Hills,264.78125,-73.203125,1
,,,,991,126,86,70,"9918612670",Wrothgarian Mountains,991.671875,-126.453125,4
,,,,397,347,122,56,"39712234756",Sentinel,397.953125,-347.5625,7
,,,,588,483,108,104,"588108483104",Dak'fron,588.84375,-483.1875,9
,,,,726,45,6,93,"726064593",Wrothgarian Mountains,726.046875,-45.2734375,4
,,,,746,37,100,72,"7461003772",Wrothgarian Mountains,746.78125,-37.4375,4
,,,,515,4,35,35,"515350435",Phrygias,515.2734375,-4.7265625,1
,,,,408,128,44,32,"4084412832",Anticlere,408.34375,-128.75,1
,,,,953,185,97,17,"9539718517",Wrothgarian Mountains,953.7578125,-185.8671875,4
,,,,697,184,90,32,"6979018432",Isle of Balfiera,697.703125,-184.75,4
,,,,479,27,81,65,"479812765",Phrygias,479.6328125,-27.4921875,2
,,,,285,110,37,92,"2853711092",Ilessan Hills,285.2890625,-110.28125,2
,,,,694,206,67,72,"6946720672",Isle of Balfiera,694.5234375,-206.4375,4
,,,,516,490,36,88,"5163649088",Dak'fron,516.28125,-490.3125,9
,,,,858,52,93,36,"858935236",Wrothgarian Mountains,858.7265625,-52.71875,4
,,,,374,430,49,77,"3744943077",Alik'r Desert,374.3828125,-430.3984375,8
,,,,572,429,97,125,"57297429125",Alik'r Desert,572.7578125,-429.0234375,8
,,,,597,315,108,8,"59710831508",Dragontail Mountains,597.84375,-315.9375,4
,,,,965,485,24,109,"96524485109",Dragontail Mountains,965.1875,-485.1484375,4
,,,,908,70,99,5,"908997005",Wrothgarian Mountains,908.7734375,-70.9609375,4
,,,,798,57,77,109,"7987757109",Wrothgarian Mountains,798.6015625,-57.1484375,4
,,,,593,62,50,114,"5935062114",Kambria,593.390625,-62.109375,1
,,,,273,413,77,109,"27377413109",Myrkwasa,273.6015625,-413.1484375,7
,,,,616,401,5,123,"61605401123",Alik'r Desert,616.0390625,-401.0390625,8
,,,,286,81,42,46,"286428146",Ilessan Hills,286.328125,-81.640625,1
,,,,621,329,100,50,"62110032950",Dragontail Mountains,621.78125,-329.609375,4
,,,,605,300,65,96,"6056530096",Dragontail Mountains,605.5078125,-300.25,4
,,,,272,59,58,64,"272585964",Northmoor,272.453125,-59.5,1
,,,,616,344,17,12,"6161734412",Dragontail Mountains,616.1328125,-344.90625,4
,,,,979,289,116,20,"97911628920",Mournoth,979.90625,-289.84375,5
,,,,378,399,55,54,"3785539954",Sentinel,378.4296875,-399.578125,7
,,,,810,299,70,74,"8107029974",Satakalaam,810.546875,-299.421875,5
,,,,839,319,118,50,"83911831950",Totambu,839.921875,-319.609375,5
,,,,678,18,6,15,"678061815",Wrothgarian Mountains,678.046875,-18.8828125,4
,,,,785,415,0,55,"7850041555",Dragontail Mountains,785,-415.5703125,4
,,,,560,493,120,110,"560120493110",Dak'fron,560.9375,-493.140625,9
,,,,746,51,70,91,"746705191",Wrothgarian Mountains,746.546875,-51.2890625,4
,,,,708,206,64,110,"70864206110",Isle of Balfiera,708.5,-206.140625,4
,,,,588,485,88,115,"58888485115",Dak'fron,588.6875,-485.1015625,9
,,,,806,283,116,33,"80611628333",Satakalaam,806.90625,-283.7421875,5
,,,,637,389,82,81,"6378238981",Dragontail Mountains,637.640625,-389.3671875,4
,,,,918,168,60,32,"9186016832",Wrothgarian Mountains,918.46875,-168.75,4
,,,,628,426,124,63,"62812442663",Alik'r Desert,628.96875,-426.5078125,8
,,,,122,137,0,26,"1220013726",Tulune,122,-137.796875,1
,,,,819,345,31,64,"8193134564",Totambu,819.2421875,-345.5,5
,,,,931,226,119,96,"93111922696",Wayrest,931.9296875,-226.25,1
,,,,101,152,74,118,"10174152118",Tulune,101.578125,-152.078125,1
,,,,596,28,32,111,"5963228111",Wrothgarian Mountains,596.25,-28.1328125,4
,,,,855,101,45,47,"8554510147",Wrothgarian Mountains,855.3515625,-101.6328125,4
