name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
,,,,810,441,73,27,"8107344127",Dragontail Mountains,810.5703125,-441.7890625,4
,,,,651,26,54,61,"651542661",Wrothgarian Mountains,651.421875,-26.5234375,4
,,,,811,442,119,32,"81111944232",Ephesus,811.9296875,-442.75,4
,,,,925,121,15,42,"9251512142",Wrothgarian Mountains,925.1171875,-121.671875,4
,,,,956,142,100,123,"956100142123",Wrothgarian Mountains,956.78125,-142.0390625,4
,,,,242,119,14,93,"2421411993",Ilessan Hills,242.109375,-119.2734375,3
,,,,845,497,37,96,"8453749796",Dragontail Mountains,845.2890625,-497.25,4
,,,,876,115,6,115,"87606115115",Wrothgarian Mountains,876.046875,-115.1015625,4
,,,,831,323,105,105,"831105323105",Totambu,831.8203125,-323.1796875,5
,,,,813,79,70,58,"813707958",Wrothgarian Mountains,813.546875,-79.546875,4
,,,,802,30,93,42,"802933042",Wrothgarian Mountains,802.7265625,-30.671875,4
,,,,803,173,18,19,"8031817319",Menevia,803.140625,-173.8515625,1
,,,,415,124,69,105,"41569124105",Anticlere,415.5390625,-124.1796875,1
,,,,870,182,51,59,"8705118259",Orsinium Area,870.3984375,-182.5390625,1
,,,,809,332,86,29,"8098633229",Totambu,809.671875,-332.7734375,5
,,,,746,403,90,35,"7469040335",Dragontail Mountains,746.703125,-403.7265625,4
,,,,990,442,109,109,"990109442109",Dragontail Mountains,990.8515625,-442.1484375,4
,,,,786,91,15,122,"7861591122",Wrothgarian Mountains,786.1171875,-91.046875,4
,,,,850,32,12,50,"850123250",Wrothgarian Mountains,850.09375,-32.609375,4
,,,,825,65,1,77,"825016577",Wrothgarian Mountains,825.0078125,-65.3984375,4
,,,,276,78,116,24,"2761167824",Ilessan Hills,276.90625,-78.8125,1
,,,,819,437,73,106,"81973437106",Ephesus,819.5703125,-437.171875,4
,,,,757,393,20,95,"7572039395",Dragontail Mountains,757.15625,-393.2578125,4
,,,,899,17,96,70,"899961770",Wrothgarian Mountains,899.75,-17.453125,4
,,,,306,128,87,108,"30687128108",Shalgora,306.6796875,-128.15625,3
,,,,968,427,69,91,"9686942791",Dragontail Mountains,968.5390625,-427.2890625,4
,,,,952,26,20,113,"9522026113",Wrothgarian Mountains,952.15625,-26.1171875,4
,,,,941,364,105,86,"94110536486",Mournoth,941.8203125,-364.328125,5
,,,,798,455,54,19,"7985445519",Dragontail Mountains,798.421875,-455.8515625,4
,,,,911,155,5,88,"9110515588",Wrothgarian Mountains,911.0390625,-155.3125,4
,,,,771,440,104,86,"77110444086",Dragontail Mountains,771.8125,-440.328125,4
