name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude
,,,,953,74,109,31,"9531097431",Wrothgarian Mountains,953.8515625,-74.7578125,4,8
,,,,955,422,37,24,"9553742224",Dragontail Mountains,955.2890625,-422.8125,4,8
,,,,815,44,125,35,"8151254435",Wrothgarian Mountains,815.9765625,-44.7265625,4,8
,,,,949,447,119,22,"94911944722",Dragontail Mountains,949.9296875,-447.828125,4,8
,,,,915,51,92,32,"915925132",Wrothgarian Mountains,915.71875,-51.75,4,8
,,,,722,383,36,79,"7223638379",Dragontail Mountains,722.28125,-383.3828125,4,8
,,,,965,440,13,5,"9651344005",Dragontail Mountains,965.1015625,-440.9609375,4,8
,,,,974,141,3,99,"9740314199",Wrothgarian Mountains,974.0234375,-141.2265625,4,8
,,,,875,73,74,67,"875747367",Wrothgarian Mountains,875.578125,-73.4765625,4,8
,,,,940,78,19,15,"940197815",Wrothgarian Mountains,940.1484375,-78.8828125,4,8
,,,,721,383,88,74,"7218838374",Dragontail Mountains,721.6875,-383.421875,4,8
,,,,774,60,115,116,"77411560116",Wrothgarian Mountains,774.8984375,-60.09375,4,8
,,,,155,146,51,115,"15551146115",Glenpoint,155.3984375,-146.1015625,3,8
,,,,200,125,88,86,"2008812586",Glenpoint,200.6875,-125.328125,3,8
,,,,643,357,54,108,"64354357108",Dragontail Mountains,643.421875,-357.15625,4,8
,,,,954,73,100,36,"9541007336",Wrothgarian Mountains,954.78125,-73.71875,4,8
,,,,865,434,58,18,"8655843418",Ephesus,865.453125,-434.859375,4,8
,,,,920,11,102,15,"9201021115",Wrothgarian Mountains,920.796875,-11.8828125,4,8
,,,,860,71,91,46,"860917146",Wrothgarian Mountains,860.7109375,-71.640625,4,8
,,,,858,431,52,73,"8585243173",Ephesus,858.40625,-431.4296875,4,8
,,,,631,335,76,41,"6317633541",Dragontail Mountains,631.59375,-335.6796875,4,8
,,,,804,392,26,4,"8042639204",Dragontail Mountains,804.203125,-392.96875,4,8
,,,,858,37,72,54,"858723754",Wrothgarian Mountains,858.5625,-37.578125,4,8
,,,,951,487,76,97,"9517648797",Dragontail Mountains,951.59375,-487.2421875,4,8
,,,,647,357,4,91,"6470435791",Dragontail Mountains,647.03125,-357.2890625,4,8
,,,,733,393,32,88,"7333239388",Dragontail Mountains,733.25,-393.3125,4,8
,,,,746,388,37,29,"7463738829",Dragontail Mountains,746.2890625,-388.7734375,4,8
,,,,649,358,119,50,"64911935850",Dragontail Mountains,649.9296875,-358.609375,4,8
,,,,937,50,84,58,"937845058",Wrothgarian Mountains,937.65625,-50.546875,4,8
,,,,969,122,8,24,"9690812224",Wrothgarian Mountains,969.0625,-122.8125,4,8
,,,,928,451,88,59,"9288845159",Dragontail Mountains,928.6875,-451.5390625,4,8
,,,,933,426,95,70,"9339542670",Dragontail Mountains,933.7421875,-426.453125,4,8
,,,,867,442,22,64,"8672244264",Ephesus,867.171875,-442.5,4,8
,,,,838,450,92,108,"83892450108",Ephesus,838.71875,-450.15625,4,8
,,,,892,445,56,118,"89256445118",Ephesus,892.4375,-445.078125,4,8
,,,,937,40,52,86,"937524086",Wrothgarian Mountains,937.40625,-40.328125,4,8
,,,,871,47,127,118,"87112747118",Wrothgarian Mountains,871.9921875,-47.078125,4,8
,,,,891,421,77,35,"8917742135",Dragontail Mountains,891.6015625,-421.7265625,4,8
,,,,935,53,52,69,"935525369",Wrothgarian Mountains,935.40625,-53.4609375,4,8
,,,,621,346,60,61,"6216034661",Dragontail Mountains,621.46875,-346.5234375,4,8
,,,,970,120,78,67,"9707812067",Wrothgarian Mountains,970.609375,-120.4765625,4,8
,,,,944,83,82,13,"944828313",Wrothgarian Mountains,944.640625,-83.8984375,4,8
,,,,875,443,120,90,"87512044390",Ephesus,875.9375,-443.296875,4,8
,,,,936,14,50,125,"9365014125",Wrothgarian Mountains,936.390625,-14.0234375,4,8
,,,,889,422,42,124,"88942422124",Dragontail Mountains,889.328125,-422.03125,4,8
,,,,938,40,5,10,"938054010",Wrothgarian Mountains,938.0390625,-40.921875,4,8
,,,,631,334,22,31,"6312233431",Dragontail Mountains,631.171875,-334.7578125,4,8
,,,,946,85,120,6,"9461208506",Wrothgarian Mountains,946.9375,-85.953125,4,8
,,,,835,83,91,58,"835918358",Wrothgarian Mountains,835.7109375,-83.546875,4,8
,,,,936,18,104,91,"9361041891",Wrothgarian Mountains,936.8125,-18.2890625,4,8
,,,,972,416,102,74,"97210241674",Dragontail Mountains,972.796875,-416.421875,4,8
,,,,910,494,26,56,"9102649456",Dragontail Mountains,910.203125,-494.5625,4,8
,,,,779,79,96,77,"779967977",Wrothgarian Mountains,779.75,-79.3984375,4,8
,,,,847,83,23,24,"847238324",Wrothgarian Mountains,847.1796875,-83.8125,4,8
,,,,733,418,44,46,"7334441846",Dragontail Mountains,733.34375,-418.640625,4,8
,,,,846,84,41,113,"8464184113",Wrothgarian Mountains,846.3203125,-84.1171875,4,8
,,,,913,450,13,73,"9131345073",Ephesus,913.1015625,-450.4296875,4,8
,,,,975,443,77,8,"9757744308",Dragontail Mountains,975.6015625,-443.9375,4,8
,,,,656,364,37,81,"6563736481",Dragontail Mountains,656.2890625,-364.3671875,4,8
,,,,864,70,74,84,"864747084",Wrothgarian Mountains,864.578125,-70.34375,4,8
,,,,877,77,18,115,"8771877115",Wrothgarian Mountains,877.140625,-77.1015625,4,8
,,,,776,392,1,90,"7760139290",Dragontail Mountains,776.0078125,-392.296875,4,8
,,,,967,418,28,6,"9672841806",Dragontail Mountains,967.21875,-418.953125,4,8
,,,,809,45,110,1,"8091104501",Wrothgarian Mountains,809.859375,-45.9921875,4,8
,,,,940,36,104,68,"9401043668",Wrothgarian Mountains,940.8125,-36.46875,4,8
,,,,818,384,106,88,"81810638488",Dragontail Mountains,818.828125,-384.3125,4,8
,,,,689,374,61,88,"6896137488",Dragontail Mountains,689.4765625,-374.3125,4,8
,,,,879,84,102,76,"8791028476",Wrothgarian Mountains,879.796875,-84.40625,4,8
,,,,906,106,86,109,"90686106109",Wrothgarian Mountains,906.671875,-106.1484375,4,8
,,,,893,432,49,13,"8934943213",Ephesus,893.3828125,-432.8984375,4,8
,,,,847,43,119,110,"84711943110",Wrothgarian Mountains,847.9296875,-43.140625,4,8
,,,,915,421,116,51,"91511642151",Dragontail Mountains,915.90625,-421.6015625,4,8
,,,,856,41,52,120,"8565241120",Wrothgarian Mountains,856.40625,-41.0625,4,8
,,,,897,48,104,97,"8971044897",Wrothgarian Mountains,897.8125,-48.2421875,4,8
,,,,874,47,69,37,"874694737",Wrothgarian Mountains,874.5390625,-47.7109375,4,8
,,,,878,46,99,68,"878994668",Wrothgarian Mountains,878.7734375,-46.46875,4,8
,,,,962,440,84,99,"9628444099",Dragontail Mountains,962.65625,-440.2265625,4,8
,,,,631,330,125,41,"63112533041",Dragontail Mountains,631.9765625,-330.6796875,4,8
,,,,621,345,77,29,"6217734529",Dragontail Mountains,621.6015625,-345.7734375,4,8
,,,,657,357,13,95,"6571335795",Dragontail Mountains,657.1015625,-357.2578125,4,8
,,,,815,21,65,100,"8156521100",Wrothgarian Mountains,815.5078125,-21.21875,4,8
,,,,862,73,64,79,"862647379",Wrothgarian Mountains,862.5,-73.3828125,4,8
,,,,851,87,13,123,"8511387123",Wrothgarian Mountains,851.1015625,-87.0390625,4,8
,,,,869,60,87,100,"8698760100",Wrothgarian Mountains,869.6796875,-60.21875,4,8
,,,,794,402,76,13,"7947640213",Dragontail Mountains,794.59375,-402.8984375,4,8
,,,,973,410,101,74,"97310141074",Dragontail Mountains,973.7890625,-410.421875,4,8
,,,,966,490,73,58,"9667349058",Dragontail Mountains,966.5703125,-490.546875,4,8
,,,,912,421,61,50,"9126142150",Dragontail Mountains,912.4765625,-421.609375,4,8
,,,,904,463,13,67,"9041346367",Ephesus,904.1015625,-463.4765625,4,8
,,,,874,80,46,109,"8744680109",Wrothgarian Mountains,874.359375,-80.1484375,4,8
,,,,792,394,65,37,"7926539437",Dragontail Mountains,792.5078125,-394.7109375,4,8
,,,,978,424,101,26,"97810142426",Dragontail Mountains,978.7890625,-424.796875,4,8
,,,,831,125,128,120,"831128125120",Wrothgarian Mountains,832,-125.0625,4,8
,,,,919,446,96,64,"9199644664",Ephesus,919.75,-446.5,4,8
,,,,874,81,81,83,"874818183",Wrothgarian Mountains,874.6328125,-81.3515625,4,8
,,,,950,126,45,97,"9504512697",Wrothgarian Mountains,950.3515625,-126.2421875,4,8
,,,,780,402,67,17,"7806740217",Dragontail Mountains,780.5234375,-402.8671875,4,8
,,,,878,423,128,90,"87812842390",Ephesus,879,-423.296875,4,8
,,,,949,445,20,110,"94920445110",Dragontail Mountains,949.15625,-445.140625,4,8
